en-us	bg-bg	cs-cz	da-dk	de-de	el-gr	es-es	et-ee	fi-fi	fr-fr	ga	hr-hr	hu-hu	is-is	it-it	kk-kz	lt-lt	lv-lv	mk-mk	mt-mt	nl-nl	nb-no	pl-pl	pt-pt	ro-ro	ru-ru	sk-sk	sl-si	sq-al	sr-rs	sv-se	tr-tr	uk-ua	zh-cn	bs-ba
Nasal cream	Крем за нос	Nosní krém	Næsecreme	Nasencreme	Ρινική κρέμα	Crema nasal	Ninakreem	Nenävoide, creme	Crème nasale	Uachtar sróine	Krema za nos	Orrkrém	Nefkrem	Crema nasale	Мұрын кремі	Nosies kremas	Deguna krēms	Крем за нос	Krema għall-imnieħer	Neuscrème	Nesekrem	Krem do nosa	Creme nasal	Cremă nazală	Крем назальный	Nosový krém	Krema za nos	Krem për hundë	Krem za nos	Näskräm	Burun kremi	Крем назальний	鼻用乳膏	Krema za nos
Nasal gel	Гел за нос	Nosní gel	Næsegel	Nasengel	Ρινική γέλη	Gel nasal	Ninageel	Nenägeeli	Gel nasal	Glóthach sróine	Gel za nos	Orrgél	Nefhlaup	Gel nasale	Мұрын гелі	Nosies gelis	Deguna gels	Гел за нос	Ġell għall-imnieħer	Neusgel	Nesegel	Żel do nosa	Gel nasal	Gel nazal	Гель назальный	Nosový gél	Gel za nos	Xhel për hundë	Gel za nos	Näsgel	Burun jeli	 - 	鼻用凝胶	Gel za nos
Nasal ointment	Маз за нос	Nosní mast	Næsesalve	Nasensalbe	Ρινική αλοιφή	Pomada nasal	Ninasalv	Nenävoide	Pommade nasale	Ungadh sróine	Mast za nos	Orrkenőcs	Nefsmyrsli	Unguento nasale	Мұрын жақпамайы	Nosies tepalas	Deguna ziede	Маст за нос	Ingwent għall-imnieħer	Neuszalf	Nesesalve	Maść do nosa	Pomada nasal	Unguent nazal	Мазь назальная	Nosová masť	Mazilo za nos	Pomadë për hundë	Mast za nos	Nässalva	Burun merhemi	 - 	鼻用软膏	Mast za nos
Nasal drops, solution	Капки за нос, разтвор	Nosní kapky, roztok	Næsedråber, opløsning	Nasentropfen, Lösung	Ρινικές σταγόνες, διάλυμα	Gotas nasales en solución	Ninatilgad, lahus	Nenätipat, liuos	Solution nasale en gouttes	Braonta sróine, tuaslagán	Kapi za nos, otopina	Oldatos orrcsepp	Nefdropar, lausn	Gocce nasali, soluzione	Мұрынға арналған тамшылар, ерітінді	Nosies lašai (tirpalas)	Deguna pilieni, šķīdums	Капки за нос, раствор	Qtar għall-imnieħer, soluzzjoni	Neusdruppels, oplossing	Nesedråper, oppløsning	Krople do nosa, roztwór	Gotas nasais, solução	Picături nazale, soluţie	Капли назальные, раствор	Nosové roztokové kvapky	Kapljice za nos, raztopina	Tretësirë për pika në hundë	Kapi za nos, rastvor	Näsdroppar, lösning	Burun damlası, çözelti	 - 	溶液型滴鼻剂	Kapi za nos, rastvor
Nasal drops, suspension	Капки за нос, суспензия	Nosní kapky, suspenze	Næsedråber, suspension	Nasentropfen, Suspension	Ρινικές σταγόνες, εναιώρημα	Gotas nasales en suspensión	Ninatilgad, suspensioon	Nenätipat, suspensio	Suspension nasale en gouttes	Braonta sróine, fuaidreán	Kapi za nos, suspenzija	Szuszpenziós orrcsepp	Nefdropar, dreifa	Gocce nasali, sospensione	Мұрынға арналған тамшылар, суспензия	Nosies lašai (suspensija)	Deguna pilieni, suspensija	Капки за нос, суспензиjа	Qtar għall-imnieħer, suspensjoni	Neusdruppels, suspensie	Nesedråper, suspensjon	Krople do nosa, zawiesina	Gotas nasais, suspensão	Picături nazale, suspensie	Капли назальные, суспензия	Nosové suspenzné kvapky	Kapljice za nos, suspenzija	Pezulli për pika në hundë	Kapi za nos, suspenzija	Näsdroppar, suspension	Burun damlası, süspansiyon	 - 	混悬型滴鼻剂	Kapi za nos, suspenzija
Nasal drops, emulsion	Капки за нос, емулсия	Nosní kapky, emulze	Næsedråber, emulsion	Nasentropfen, Emulsion	Ρινικές σταγόνες, γαλάκτωμα	Gotas nasales en emulsión	Ninatilgad, emulsioon	Nenätipat, emulsio	Emulsion nasale en gouttes	Braonta sróine, eibleacht	Kapi za nos, emulzija	Emulziós orrcsepp	Nefdropar, fleyti	Gocce nasali, emulsione	Мұрынға арналған тамшылар, эмульсия	Nosies lašai (emulsija)	Deguna pilieni, emulsija	Капки за нос, емулзиjа	Qtar għall-imnieħer, emulsjoni	Neusdruppels, emulsie	Nesedråper, emulsjon	Krople do nosa, emulsja	Gotas nasais, emulsão	Picături nazale, emulsie	Капли назальные, эмульсия	Nosové emulzné kvapky	Kapljice za nos, emulzija	Emulsion për pika në hundë	Kapi za nos, emulzija	Näsdroppar, emulsion	Burun damlası, emülsiyon	 - 	乳状液型滴鼻剂	Kapi za nos, emulzija
Nasal powder	Прах за нос	Nosní zásyp	Næsepudder	Nasenpulver	Ρινική κόνις	Polvo nasal	Ninapulber	Nenäjauhe	Poudre nasale	Púdar sróine	Prašak za nos	Orrpor	Nefduft	Polvere nasale	Мұрын ұнтағы	Nosies milteliai	Deguna pulveris	Прашок за нос	Trab għall-imnieħer	Neuspoeder	Nesepulver	Proszek do nosa	Pó nasal	Pulbere nazală	Порошок назальный	Nosový prášok	Prašek za nos	Pluhur për hundë	Prašak za nos	Näspulver	Burun tozu	 - 	鼻用散	Prašak za nos
Nasal spray, solution	Спрей за нос, разтвор	Nosní sprej, roztok	Næsespray, opløsning	Nasenspray, Lösung	Ρινικό εκνέφωμα, διάλυμα	Solución para pulverización nasal	Ninasprei, lahus	Nenäsumute, liuos	Solution pour pulvérisation nasale	Sprae sróine, tuaslagán	sprej za nos, otopina	Oldatos orrspray	Nefúði, lausn	Spray nasale, soluzione	Мұрынға бүріккіш, ерітінді	Nosies purškalas (tirpalas)	Deguna aerosols, šķīdums	Спреj за нос, раствор	Sprej għall-imnieħer, soluzzjoni	Neusspray, oplossing	Nesespray, oppløsning	Aerozol do nosa, roztwór	Solução para pulverização nasal	Spray nazal, soluţie	Спрей назальный, раствор	Nosový roztokový sprej	Pršilo za nos, raztopina	Tretësirë për sprucim në hundë	Sprej za nos, rastvor	Nässpray, lösning	Burun spreyi, çözelti	 - 	溶液型鼻喷雾剂	Sprej za nos, rastvor
Nasal spray, suspension	Спрей за нос, суспензия	Nosní sprej, suspenze	Næsespray, suspension	Nasenspray, Suspension	Ρινικό εκνέφωμα, εναιώρημα	Suspensión para pulverización nasal	Ninasprei, suspensioon	Nenäsumute, suspensio	Suspension pour pulvérisation nasale	Sprae sróine, fuaidreán	sprej za nos, suspenzija	Szuszpenziós orrspray	Nefúði, dreifa	Spray nasale, sospensione	Мұрынға бүріккіш, суспензия	Nosies purškalas (suspensija)	Deguna aerosols, suspensija	Спреj за нос, суспензиjа	Sprej għall-imnieħer, suspensjoni	Neusspray, suspensie	Nesespray, suspensjon	Aerozol do nosa, zawiesina	Suspensão para pulverização nasal	Spray nazal, suspensie	Спрей назальный, суспензия	Nosový suspenzný sprej	Pršilo za nos, suspenzija	Pezulli për sprucim në hundë	Sprej za nos, suspenzija	Nässpray, suspension	Burun spreyi, süspansiyon	 - 	混悬型鼻喷雾剂	Sprej za nos, suspenzija
Nasal spray, emulsion	Спрей за нос, емулсия	Nosní sprej, emulze	Næsespray, emulsion	Nasenspray, Emulsion	Ρινικό εκνέφωμα, γαλάκτωμα	Emulsión para pulverización nasal	Ninasprei, emulsioon	Nenäsumute, emulsio	Emulsion pour pulvérisation nasale	Sprae sróine, eibleacht	sprej za nos, emulzija	Emulziós orrspray	Nefúði, fleyti	Spray nasale, emulsione	Мұрынға бүріккіш, эмульсия	Nosies purškalas (emulsija)	Deguna aerosols, emulsija	Спреj за нос, емулзиjа	Sprej għall-imnieħer, emulsjoni	Neusspray, emulsie	Nesespray, emulsjon	Aerozol do nosa, emulsja	Emulsão para pulverização nasal	Spray nazal, emulsie	Спрей назальный, эмульсия	Nosový emulzný sprej	Pršilo za nos, emulzija	Emulsion për sprucim në hundë	Sprej za nos, emulzija	Nässpray, emulsion	Burun spreyi, emülsiyon	 - 	乳状液型鼻喷雾剂	Sprej za nos, emulzija
Nasal wash	Промивка за нос	Nosní výplach	Næseskyllevæske	Nasenspülung	Ρινικό πλύμα	Líquido para lavado nasal	Ninaloputuslahus	Nenähuuhde	Solution pour lavage nasal	Folcadh sróine	Tekućina za ispiranje nosa	Orröblítő	Nefskol	Lavaggio nasale	Мұрынды жуатын	Nosies ploviklis	Deguna skalojamais līdzeklis	Раствор за промивање нос	Likwidu għall-ħasil ta' l-imnieħer	Neusspoeling	Neseskyllevæske	Roztwór do przemywania nosa	Solução para lavagem nasal	Soluţie pentru spălări nazale	Промывание назальное	Nosový výplach	Raztopina za izpiranje nosu	Larje hunde	Rastvor za ispiranje nosa	Nässköljvätska	Burun yıkama çözeltisi	 - 	洗鼻剂	Rastvor za ispiranje nosa
Nasal stick	Пръчица за нос	Nosní tyčinka	Næsestift	Nasenstift	Ρινικό ραβδίο	Barra nasal	Ninapulk	Nenäpuikko	Bâton pour usage nasal	Cipín sróine	štapić za nos	Gyógyszeres orrpálcika	Nefstifti	Bastoncino nasale	Мұрын тазалағыш	Nosies lazdelė	Deguna nūjiņa	Стапче за нос	Stikka għall-imnieħer	Neusstift	Nesestift	Pręcik do nosa	Lápis nasal	Creion nazal	Палочка назальная	Nosová tyčinka	palčka za nos	Shkopth për hundë	Štapić za nos	Nässtift	Burun çubuğu	 - 	鼻用棒剂	Štapić za nos
Vaginal cream	Вагинален крем	Vaginální krém	Vaginalcreme	Vaginalcreme	Κολπική κρέμα	Crema vaginal	Vaginaalkreem	Emätinemulsiovoide	Crème vaginale	Uachtar faighne	krema za rodnicu	Hüvelykrém	Leggangakrem	Crema vaginale	Қынаптық крем	Makšties kremas	Vaginālais krēms	Вагинален крем	Krema vaġinali	Crème voor vaginaal gebruik	Vaginalkrem	Krem dopochwowy	Creme vaginal	Cremă vaginală	Крем вагинальный	Vaginálny krém	vaginalna krema	Krem vaginal	Vaginalni krem	Vaginalkräm	Vajinal krem	Вагінальний крем	阴道乳膏	 - 
Vaginal gel	Вагинален гел	Vaginální gel	Vaginalgel	Vaginalgel	Κολπική γέλη	Gel vaginal	Vaginaalgeel	Emätingeeli	Gel vaginal	Glóthach faighne	gel za rodnicu	Hüvelygél	Leggangahlaup	Gel vaginale	Қынаптық гель	Makšties gelis	Vaginālais gels	Вагинален гел	Ġell vaġinali	Gel voor vaginaal gebruik	Vaginalgel	Żel dopochwowy	Gel vaginal	Gel vaginal	Гель вагинальный	Vaginálny gél	vaginalni gel	Xhel vaginal	Vaginalni gel	Vaginalgel	Vajinal jel	Вагінальний гель	阴道凝胶	 - 
Vaginal ointment	Вагинална маз	Vaginální mast	Vaginalsalve	Vaginalsalbe	Κολπική αλοιφή	Pomada vaginal	Vaginaalsalv	Emätinvoide	Pommade vaginale	Ungadh faighne	Mast za rodnicu	Hüvelykenőcs	Leggangasmyrsli	Unguento vaginale	Қынаптық жақпамай	Makšties tepalas	Vaginālā ziede	Вагинална маст	Ingwent vaġinali	Zalf voor vaginaal gebruik	Vaginalsalve	Maść dopochwowa	Pomada vaginal	Unguent vaginal	Мазь вагинальная	Vaginálna masť	vaginalno mazilo	Pomadë vaginale	Vaginalna mast	Vaginalsalva	Vajinal merhem	Вагінальна мазь	阴道软膏	 - 
Vaginal foam	Вагинална пяна	Vaginální pěna	Vaginalskum	Vaginalschaum	Κολπικός αφρός	Espuma vaginal	Vaginaalvaht	Emätinvaahto	Mousse vaginale	Cúr faighne	pjena za rodnicu	Hüvelyhab	Leggangafroða	Schiuma vaginale	Қынаптық көбік	Makšties putos	Vaginālās putas	Вагинална пена	Ragħwa vaġinali	Schuim voor vaginaal gebruik	Vaginalskum	Pianka dopochwowa	Espuma vaginal	Spumă vaginală	Пена вагинальная	Vaginálna pena	vaginalna pena	Shkumë vaginale	Vaginalna pena	Vaginalskum	Vajinal köpük	Вагінальна піна	阴道泡沫剂	 - 
Vaginal solution	Вагинален разтвор	Vaginální roztok	Vaginalskyllevæske, opløsning	Vaginallösung	Κολπικό διάλυμα	Solución vaginal	Vaginaallahus	Emättimenhuuhteluliuos	Solution vaginale	Tuaslagán faighne	otopina za rodnicu	Hüvelyoldat	Leggangalausn	Soluzione vaginale	Қынаптық ерітінді	Makšties tirpalas	Vaginālais šķīdums	Вагинален раствор	Soluzzjoni vaġinali	Oplossing voor vaginaal gebruik	Vaginalvæske, oppløsning	Roztwór dopochwowy	Solução vaginal	Soluţie vaginală	Раствор вагинальный	Vaginálny roztok	vaginalna raztopina	Tretësirë vaginale	Vaginalni rastvor	Vaginallösning	Vajinal çözelti	Вагінальний розчин	阴道溶液剂	 - 
Vaginal suspension	Вагинална суспензия	Vaginální suspenze	Vaginalskyllevæske, suspension	Vaginalsuspension	Κολπικό εναιώρημα	Suspensión vaginal	Vaginaalsuspensioon	Emättimenhuuhtelususpensio	Suspension vaginale	Fuaidreán faighne	suspenzija za rodnicu	Hüvelyszuszpenzió	Leggangadreifa	Sospensione vaginale	Қынаптық суспензия	Makšties suspensija	Vaginālā suspensija	Вагинална суспензиjа	Suspensjoni vaġinali	Suspensie voor vaginaal gebruik	Vaginalvæske, suspensjon	Zawiesina dopochwowa	Suspensão vaginal	Suspensie vaginală	Суспензия вагинальная	Vaginálna suspenzia	vaginalna suspenzija	Pezulli vaginale	Vaginalna suspenzija	Vaginalsuspension	Vajinal süspansiyon	Вагінальна суспензія	阴道混悬剂	 - 
Vaginal emulsion	Вагинална емулсия	Vaginální emulze	Vaginalskyllevæske, emulsion	Vaginalemulsion	Κολπικό γαλάκτωμα	Emulsión vaginal	Vaginaalemulsioon	Emättimenhuuhteluemulsio	Emulsion vaginale	Eibleacht faighne	emulzija za rodnicu	Hüvelyemulzió	Leggangafleyti	Emulsione vaginale	Қынаптық эмульсия	Makšties emulsija	Vaginālā emulsija	Вагинална емулзиjа	Emulsjoni vaġinali	Emulsie voor vaginaal gebruik	Vaginalvæske, emulsjon	Emulsja dopochwowa	Emulsão vaginal	Emulsie vaginală	Эмульсия вагинальная	Vaginálna emulzia	vaginalna emulzija	Emulsion vaginal	Vaginalna emulzija	Vaginalemulsion	Vajinal emülsiyon	Вагінальна емульсія	阴道乳剂	 - 
Tablet for vaginal solution	Таблетка за вагинален разтвор	Tableta pro vaginální roztok	Tablet til vaginalskyllevæske, opløsning	Tablette zur Herstellung einer Vaginallösung	Δισκίο για κολπικό διάλυμα	Comprimido para solución vaginal	Vaginaallahuse tablett	Tabletti emättimenhuuhteluliuosta varten	Comprimé pour solution vaginale	Táibléad le haghaidh tuaslagán faighne	tableta za otopinu za rodnicu	Tabletta hüvelyoldathoz	Tafla fyrir leggangalausn	Compressa per soluzione vaginale	Қынаптық ерітіндіге арналған таблетка	Tabletė makšties tirpalui	Tablete vaginālā šķīduma pagatavošanai	Таблета за вагинален раствор	Pillola għal soluzzjoni vaġinali	Tablet voor oplossing voor vaginaal gebruik	Tablett til vaginalvæske, oppløsning	Tabletka do sporządzania roztworu dopochwowego	Comprimido para solução vaginal	Comprimat pentru soluţie vaginală	Таблетка для приготовления раствора вагинального	Tableta na vaginálny roztok	tableta za vaginalno raztopino	Tabletë për tretësirë vaginale	Tableta za vaginalni rastvor	Tablett till vaginallösning	Vajinal çözelti tableti	 - 	阴道溶液剂用片	 - 
Pessary	Песар	Vaginální kulička	Vagitorie	Vaginalzäpfchen	Κολπικό υπόθετο	Óvulo	Vaginaalsuposiit	Emätinpuikko	Ovule	Peasaire	Vagitorij	Hüvelykúp	Leggangastíll	Ovulo	Қынаптық сақина	Ovulė	Pesārijs	Вагиториjа	Pessarju	Ovule	Vagitorie	Globulka	Óvulo	Ovul	Пессарий	Vaginálna guľôčka; Vaginálny čapík	Vaginalna globula	Ovulë vaginale	Vagitorija	Vagitorium	Ovül	 - 	子宫托	Vagitorija
